代码,名称,最新价,涨跌幅,市盈率-动态,市净率,总市值
600604,市北高新,5.84,9.98,-38.43,1.75,10940100055.0
603156,养元饮品,23.25,9.98,19.69,3.24,29301453410.0
002708,光洋股份,15.33,9.97,81.37,5.13,8616961834.0
600167,联美控股,9.6,9.97,20.7,2.0,21723268445.0
002015,协鑫能科,12.68,9.97,19.82,1.7,20583756106.0
002562,兄弟科技,7.51,9.96,61.89,2.51,7988391063.0
002029,七 匹 狼,8.5,9.96,18.67,0.91,5992700065.0
000006,深振业Ａ,9.27,9.96,-88.16,2.35,12514454076.0
000672,上峰水泥,9.61,9.95,18.87,1.08,9315890275.0
835179,凯德石英,40.23,9.92,87.3,4.03,3016043100.0
600159,大龙地产,3.67,9.88,-141.59,1.77,3046111861.0
688507,索辰科技,112.92,9.84,-110.09,3.6,10062163889.0
300236,上海新阳,63.83,9.71,75.03,4.33,20003134890.0
688072,拓荆科技,252.19,9.7,374.09,13.04,70544886268.0
002992,宝明科技,59.06,9.35,-410.83,14.72,10682101583.0
688631,莱斯信息,97.12,9.2,-253.88,8.67,15876206400.0
688516,奥特维,50.4,9.09,25.82,4.46,15885881978.0
300751,迈为股份,95.7,8.94,33.95,3.52,26739059074.0
300115,长盈精密,39.75,8.93,88.34,6.65,54072966132.0
688778,厦钨新能,91.38,8.89,75.14,5.2,46118671165.0
832651,天罡股份,39.0,8.88,38.96,4.84,2379000000.0
601908,京运通,4.46,8.78,-25.4,1.22,10769128760.0
300715,凯伦股份,12.74,8.7,93.3,2.59,4816426178.0
000921,海信家电,27.3,8.64,9.1,2.36,37806709968.0
688535,华海诚科,118.82,8.58,348.05,9.43,9588352545.0
301192,泰祥股份,29.85,8.31,58.93,5.01,2982015000.0
688307,中润光学,38.19,8.31,82.43,3.92,3390279060.0
688079,美迪凯,13.69,8.31,-54.98,4.19,5567951596.0
001326,联域股份,49.27,8.29,111.65,2.96,3606564000.0
301007,德迈仕,48.6,8.29,155.32,11.1,7452324000.0
833914,远航精密,38.65,8.26,62.42,4.12,3865000000.0
002347,泰尔股份,8.91,8.26,-115.98,3.81,4496897279.0
603444,吉比特,626.5,8.21,35.0,8.53,45133749777.0
688538,和辉光电-U,2.92,8.15,-24.01,4.39,40323557865.0
688052,纳芯微,199.5,8.13,-182.25,4.81,28434422384.0
688070,纵横股份,57.1,8.06,-68.81,8.62,5000818000.0
603867,新化股份,32.38,8.01,21.07,2.59,6242021764.0
300584,海辰药业,61.56,7.98,126.68,7.1,7387200000.0
838402,硅烷科技,11.66,7.86,-74.47,3.03,4921220381.0
601020,华钰矿业,26.43,7.83,59.49,6.01,21671666968.0
301027,华蓝集团,15.74,7.81,-64.51,2.5,2313780000.0
605287,德才股份,22.71,7.78,33.75,2.05,3179400000.0
301056,森赫股份,11.94,7.76,44.81,3.99,3185432804.0
688777,中控技术,53.38,7.73,59.64,4.16,42233696951.0
688419,耐科装备,32.58,7.6,44.8,3.73,3732093376.0
688008,澜起科技,135.86,7.56,67.11,12.84,155580259694.0
301327,华宝新能,71.83,7.55,51.09,2.03,12525812801.0
002885,京泉华,17.59,7.52,57.7,3.31,4765429467.0
301071,力量钻石,33.44,7.46,167.93,1.65,8703506147.0
001339,智微智能,62.1,7.44,76.96,7.09,15655752171.0
300274,阳光电源,154.2,7.43,20.67,7.52,319689201581.0
603226,菲林格尔,32.87,7.42,-216.96,12.76,11685014480.0
688698,伟创电气,92.36,7.4,70.06,8.69,19746085327.0
301322,绿通科技,35.35,7.38,54.5,1.79,5035890583.0
688772,珠海冠宇,24.91,7.37,120.69,4.14,28199835078.0
301261,恒工精密,93.99,7.36,62.55,5.3,8260799522.0
688061,灿瑞科技,39.23,7.36,-84.01,1.89,4507110809.0
688249,晶合集成,25.66,7.32,77.5,2.45,51477428129.0
002765,蓝黛科技,14.66,7.32,43.76,3.72,9560197799.0
834415,恒拓开源,18.58,7.27,418.87,4.9,2610703428.0
300450,先导智能,67.9,7.27,71.83,8.64,106342470009.0
300002,神州泰岳,15.37,7.18,29.67,4.11,30235462320.0
600748,上实发展,4.64,7.16,-5.67,0.83,8558771819.0
603815,交建股份,12.6,7.14,34.65,3.26,7798445361.0
002759,天际股份,15.63,7.13,-74.83,2.5,7836610116.0
603189,网达软件,22.73,7.12,635.06,4.08,6126833973.0
832978,开特股份,45.15,7.12,47.6,11.46,8116230280.0
835640,富士达,30.8,7.06,77.76,6.44,5782022400.0
301067,显盈科技,36.92,7.05,362.3,4.31,3589953120.0
600288,大恒科技,14.12,7.05,-1125.27,3.37,6167616000.0
002658,雪迪龙,8.27,6.99,42.42,2.11,5257742841.0
600577,精达股份,10.13,6.97,35.53,3.69,21771168723.0
688035,德邦科技,56.89,6.96,88.78,3.52,8092033600.0
600133,东湖高新,9.22,6.96,99.95,1.12,9830731648.0
301369,联动科技,82.79,6.96,241.21,3.91,5842937200.0
600718,东软集团,11.54,6.95,121.94,1.46,13723408990.0
